date,book,jogging,origami,yoga,bread,orchids,mindfulness,podcast,calligraphy,board games,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index
2020-01-30,246,62,147,946,322,473,2,2605,160,395,German (AUT),,,0,0,5.56
2020-01-31,31,1,2,86,1,6,1,1,0,0,Tamil,,,1,1,10.19
2020-01-31,215,47,197,285,389,216,434,383,195,186,Japanese,,,0,0,2.78
2020-01-31,168,45,122,755,191,397,2,2539,158,427,German (AUT),,,0,0,5.56
2020-01-31,5,23,0,8,22,14,0,32,15,33,Serbian,,,0,0,0.0
2020-01-31,18,15,9,31,23,58,12,43,29,17,Vietnamese,,,0,0,25.93
2020-01-31,168,45,122,755,191,397,2,2539,158,427,German (CHE),,,0,0,0.0
2020-01-31,168,45,122,755,191,397,2,2539,158,427,German (DEU),,,0,0,5.56
2020-02-01,143,102,123,713,226,371,1,2200,129,545,German (AUT),,,0,0,13.89
2020-02-01,143,102,123,713,226,371,1,2200,129,545,German (CHE),,,0,0,0.0
2020-02-01,143,102,123,713,226,371,1,2200,129,545,German (DEU),,,0,0,5.56
2020-02-01,0,9,0,11,21,8,2,23,6,133,Serbian,,,0,0,0.0
2020-02-01,30,0,1,45,3,2,0,1,1,2,Tamil,,,1,1,10.19
2020-02-01,149,50,200,293,360,151,353,412,156,147,Japanese,,,0,0,8.33
2020-02-01,11,14,19,39,24,52,9,38,31,26,Vietnamese,,,0,0,28.7
2020-02-02,19,23,16,29,22,56,19,40,37,32,Vietnamese,,,0,0,28.7
2020-02-02,178,70,123,848,234,462,2,2528,165,688,German (DEU),,,0,0,5.56
2020-02-02,178,70,123,848,234,462,2,2528,165,688,German (AUT),,,0,0,13.89
2020-02-02,178,70,123,848,234,462,2,2528,165,688,German (CHE),,,0,0,0.0
2020-02-02,0,11,3,32,16,28,5,35,12,48,Serbian,,,0,0,0.0
2020-02-02,179,83,180,302,341,169,480,447,197,188,Japanese,,,0,0,8.33
2020-02-02,33,0,5,74,4,7,0,5,0,3,Tamil,,,1,1,10.19
2020-02-03,240,52,153,870,321,352,1,2704,136,484,German (CHE),,,0,0,0.0
2020-02-03,240,52,153,870,321,352,1,2704,136,484,German (AUT),,,0,0,19.44
2020-02-03,13,17,16,38,24,46,14,47,38,35,Vietnamese,,,0,0,28.7
2020-02-03,291,58,225,316,341,189,474,441,252,185,Japanese,,,0,0,8.33
2020-02-03,4,32,1,36,33,37,6,35,21,22,Serbian,,,0,0,0.0
2020-02-03,25,1,11,51,4,3,1,3,3,5,Tamil,,,1,1,10.19
2020-02-03,240,52,153,870,321,352,1,2704,136,484,German (DEU),,,0,0,5.56
2020-02-04,10,44,19,59,49,46,4,56,28,172,Serbian,,,0,0,0.0
2020-02-04,234,52,136,949,332,336,1,2341,161,416,German (CHE),,,0,0,0.0
2020-02-04,18,0,8,99,6,2,3,3,1,1,Tamil,,,1,1,10.19
2020-02-04,12,16,12,43,20,68,26,40,34,27,Vietnamese,,,0,0,28.7
2020-02-04,319,78,206,282,372,196,466,361,218,206,Japanese,,,0,0,19.44
2020-02-04,234,52,136,949,332,336,1,2341,161,416,German (AUT),,,0,0,19.44
2020-02-04,234,52,136,949,332,336,1,2341,161,416,German (DEU),,,0,0,5.56
2020-02-05,27,14,17,38,36,50,16,59,29,18,Vietnamese,,,0,0,28.7
2020-02-05,251,43,124,936,290,353,3,2465,166,491,German (AUT),,,0,0,19.44
2020-02-05,5,77,11,36,44,38,5,63,21,179,Serbian,,,0,0,0.0
2020-02-05,251,43,124,936,290,353,3,2465,166,491,German (CHE),,,0,0,0.0
2020-02-05,251,43,124,936,290,353,3,2465,166,491,German (DEU),,,0,0,5.56
2020-02-05,314,47,184,239,369,124,430,329,214,168,Japanese,,,0,0,19.44
2020-02-05,14,3,4,55,2,8,2,0,1,5,Tamil,,,1,1,10.19
2020-02-06,269,56,292,287,374,137,405,437,256,164,Japanese,,,0,0,19.44
2020-02-06,19,19,9,44,35,61,22,152,27,25,Vietnamese,,,0,0,28.7
2020-02-06,22,1,5,89,3,4,1,4,1,4,Tamil,,,1,1,10.19
2020-02-06,3,19,12,15,13,33,3,54,39,25,Serbian,,,0,0,0.0
2020-02-06,212,51,103,911,280,361,5,2080,149,463,German (DEU),,,0,0,5.56
2020-02-06,212,51,103,911,280,361,5,2080,149,463,German (AUT),,,0,0,19.44
2020-02-06,212,51,103,911,280,361,5,2080,149,463,German (CHE),,,0,0,0.0
2020-02-07,200,48,133,742,233,436,1,2451,128,507,German (CHE),,,0,0,0.0
2020-02-07,200,48,133,742,233,436,1,2451,128,507,German (DEU),,,0,0,5.56
2020-02-07,311,63,226,247,319,173,373,376,203,189,Japanese,,,0,0,19.44
2020-02-07,27,25,30,49,46,63,11,86,25,29,Vietnamese,,,0,0,28.7
2020-02-07,200,48,133,742,233,436,1,2451,128,507,German (AUT),,,0,0,19.44
2020-02-07,27,0,4,66,0,6,0,2,1,0,Tamil,,,1,1,10.19
2020-02-07,2,10,2,25,9,10,1,22,12,30,Serbian,,,0,0,0.0
2020-02-08,144,78,194,218,309,192,473,467,152,159,Japanese,,,0,0,19.44
2020-02-08,180,67,112,687,210,434,1,2608,124,558,German (DEU),,,0,0,5.56
2020-02-08,180,67,112,687,210,434,1,2608,124,558,German (AUT),,,0,0,19.44
2020-02-08,180,67,112,687,210,434,1,2608,124,558,German (CHE),,,0,0,0.0
2020-02-08,16,0,3,53,3,6,0,1,0,4,Tamil,,,1,1,10.19
2020-02-08,17,18,9,43,38,42,19,54,40,32,Vietnamese,,,0,0,37.04
2020-02-09,32,0,6,58,3,6,0,8,2,5,Tamil,,,1,1,10.19
2020-02-09,222,89,104,804,230,444,1,5484,179,606,German (CHE),,,0,0,0.0
2020-02-09,222,89,104,804,230,444,1,5484,179,606,German (DEU),,,0,0,5.56
2020-02-09,222,89,104,804,230,444,1,5484,179,606,German (AUT),,,0,0,19.44
2020-02-09,19,17,15,39,39,55,10,37,32,26,Vietnamese,,,0,0,37.04
2020-02-09,153,82,195,275,359,196,394,498,176,223,Japanese,,,0,0,19.44
2020-02-10,20,1,4,69,4,4,0,2,3,2,Tamil,,,1,1,10.19
2020-02-10,242,67,142,824,233,358,0,2677,192,431,German (DEU),,,0,0,5.56
2020-02-10,242,67,142,824,233,358,0,2677,192,431,German (CHE),,,0,0,0.0
2020-02-10,242,67,142,824,233,358,0,2677,192,431,German (AUT),,,0,0,19.44
2020-02-10,30,24,18,53,38,55,11,61,40,23,Vietnamese,,,0,0,37.04
2020-02-10,236,58,230,260,367,161,446,513,188,234,Japanese,,,0,0,19.44
2020-02-11,32,18,14,41,34,73,16,103,24,27,Vietnamese,,,0,0,37.04
2020-02-11,214,75,202,294,394,148,403,575,173,162,Japanese,,,0,0,19.44
2020-02-11,228,55,142,935,297,399,0,2637,174,432,German (AUT),,,0,0,19.44
2020-02-11,22,0,6,96,3,7,0,3,2,1,Tamil,,,1,1,10.19
2020-02-11,228,55,142,935,297,399,0,2637,174,432,German (CHE),,,0,0,0.0
2020-02-11,228,55,142,935,297,399,0,2637,174,432,German (DEU),,,0,0,5.56
2020-02-12,241,52,174,931,270,391,0,2369,181,429,German (CHE),,,0,0,0.0
2020-02-12,31,24,21,56,40,60,12,67,25,43,Vietnamese,,,0,0,37.04
2020-02-12,18,0,7,80,0,4,0,2,1,2,Tamil,,,1,1,10.19
2020-02-12,278,55,234,271,382,165,426,394,235,200,Japanese,,,0,0,19.44
2020-02-12,241,52,174,931,270,391,0,2369,181,429,German (AUT),,,0,0,19.44
2020-02-12,241,52,174,931,270,391,0,2369,181,429,German (DEU),,,0,0,11.11
2020-02-13,22,24,20,62,41,70,13,68,19,27,Vietnamese,,,0,0,45.37
2020-02-13,16,1,9,104,1,12,0,4,1,3,Tamil,,,1,1,10.19
2020-02-13,2,14,3,19,14,22,1,36,14,60,Serbian,,,0,0,0.0
2020-02-13,211,44,212,873,292,394,1,2323,213,394,German (AUT),,,0,0,19.44
2020-02-13,211,44,212,873,292,394,1,2323,213,394,German (DEU),,,0,0,11.11
2020-02-13,269,66,178,285,463,190,576,413,209,198,Japanese,,,0,0,19.44
2020-02-13,211,44,212,873,292,394,1,2323,213,394,German (CHE),,,0,0,0.0
2020-02-14,292,54,190,299,366,211,459,327,196,163,Japanese,,,0,0,19.44
2020-02-14,4,18,0,21,22,45,6,31,12,56,Serbian,,,0,0,0.0
2020-02-14,25,12,18,42,40,52,15,66,21,22,Vietnamese,,,0,0,45.37
2020-02-14,204,36,154,772,193,568,0,3224,133,468,German (DEU),,,0,0,11.11
2020-02-14,17,0,1,89,1,8,0,3,4,3,Tamil,,,1,1,10.19
2020-02-14,204,36,154,772,193,568,0,3224,133,468,German (AUT),,,0,0,19.44
2020-02-14,204,36,154,772,193,568,0,3224,133,468,German (CHE),,,0,0,0.0
2020-02-15,166,54,186,324,324,268,389,370,152,149,Japanese,,,0,0,19.44
2020-02-15,14,1,3,65,3,3,0,3,2,2,Tamil,,,1,1,10.19
2020-02-15,20,24,16,44,19,57,25,57,21,16,Vietnamese,,,0,0,47.22
2020-02-15,3,13,2,17,19,33,7,30,21,75,Serbian,,,0,0,0.0
2020-02-15,170,58,114,603,242,478,0,2156,102,679,German (DEU),,,0,0,11.11
2020-02-15,170,58,114,603,242,478,0,2156,102,679,German (CHE),,,0,0,0.0
2020-02-15,170,58,114,603,242,478,0,2156,102,679,German (AUT),,,0,0,19.44
2020-02-16,191,131,121,823,249,470,2,3378,137,637,German (CHE),,,0,0,0.0
2020-02-16,191,131,121,823,249,470,2,3378,137,637,German (AUT),,,0,0,19.44
2020-02-16,191,131,121,823,249,470,2,3378,137,637,German (DEU),,,0,0,11.11
2020-02-16,42,0,4,67,3,7,1,8,0,5,Tamil,,,1,1,10.19
