date,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,hobby,pageviews
2020-01-26,Tamil,,,1,1,0.0,book,20
2020-01-26,German (DEU),,,0,0,0.0,book,184
2020-01-26,Vietnamese,,,0,0,2.78,book,7
2020-01-26,Serbian,,,0,0,0.0,book,5
2020-01-27,Vietnamese,,,0,0,2.78,book,10
2020-01-27,German (DEU),,,0,0,5.56,book,244
2020-01-27,Tamil,,,1,1,0.0,book,21
2020-01-27,German (CHE),,,0,0,0.0,book,244
2020-01-27,German (AUT),,,0,0,5.56,book,244
2020-01-27,Japanese,,,0,0,2.78,book,220
2020-01-27,Serbian,,,0,0,0.0,book,3
2020-01-28,Japanese,,,0,0,2.78,book,201
2020-01-28,Tamil,,,1,1,0.0,book,16
2020-01-28,German (AUT),,,0,0,5.56,book,273
2020-01-28,Serbian,,,0,0,0.0,book,1
2020-01-28,German (CHE),,,0,0,0.0,book,273
2020-01-28,German (DEU),,,0,0,5.56,book,273
2020-01-28,Vietnamese,,,0,0,2.78,book,20
2020-01-29,Vietnamese,,,0,0,23.15,book,5
2020-01-29,German (AUT),,,0,0,5.56,book,232
2020-01-29,Japanese,,,0,0,2.78,book,249
2020-01-29,German (DEU),,,0,0,5.56,book,232
2020-01-29,German (CHE),,,0,0,0.0,book,232
2020-01-29,Serbian,,,0,0,0.0,book,3
2020-01-29,Tamil,,,1,1,0.0,book,20
2020-01-30,Vietnamese,,,0,0,25.93,book,10
2020-01-30,Serbian,,,0,0,0.0,book,4
2020-01-30,Tamil,,,1,1,10.19,book,23
2020-01-30,Japanese,,,0,0,2.78,book,212
2020-01-30,German (DEU),,,0,0,5.56,book,246
2020-01-30,German (CHE),,,0,0,0.0,book,246
2020-01-30,German (AUT),,,0,0,5.56,book,246
2020-01-31,Tamil,,,1,1,10.19,book,31
2020-01-31,Japanese,,,0,0,2.78,book,215
2020-01-31,German (AUT),,,0,0,5.56,book,168
2020-01-31,Serbian,,,0,0,0.0,book,5
2020-01-31,Vietnamese,,,0,0,25.93,book,18
2020-01-31,German (CHE),,,0,0,0.0,book,168
2020-01-31,German (DEU),,,0,0,5.56,book,168
2020-02-01,German (AUT),,,0,0,13.89,book,143
2020-02-01,German (CHE),,,0,0,0.0,book,143
2020-02-01,German (DEU),,,0,0,5.56,book,143
2020-02-01,Serbian,,,0,0,0.0,book,0
2020-02-01,Tamil,,,1,1,10.19,book,30
2020-02-01,Japanese,,,0,0,8.33,book,149
2020-02-01,Vietnamese,,,0,0,28.7,book,11
2020-02-02,Vietnamese,,,0,0,28.7,book,19
2020-02-02,German (DEU),,,0,0,5.56,book,178
2020-02-02,German (AUT),,,0,0,13.89,book,178
2020-02-02,German (CHE),,,0,0,0.0,book,178
2020-02-02,Serbian,,,0,0,0.0,book,0
2020-02-02,Japanese,,,0,0,8.33,book,179
2020-02-02,Tamil,,,1,1,10.19,book,33
2020-02-03,German (CHE),,,0,0,0.0,book,240
2020-02-03,German (AUT),,,0,0,19.44,book,240
2020-02-03,Vietnamese,,,0,0,28.7,book,13
2020-02-03,Japanese,,,0,0,8.33,book,291
2020-02-03,Serbian,,,0,0,0.0,book,4
2020-02-03,Tamil,,,1,1,10.19,book,25
2020-02-03,German (DEU),,,0,0,5.56,book,240
2020-02-04,Serbian,,,0,0,0.0,book,10
2020-02-04,German (CHE),,,0,0,0.0,book,234
2020-02-04,Tamil,,,1,1,10.19,book,18
2020-02-04,Vietnamese,,,0,0,28.7,book,12
2020-02-04,Japanese,,,0,0,19.44,book,319
2020-02-04,German (AUT),,,0,0,19.44,book,234
2020-02-04,German (DEU),,,0,0,5.56,book,234
2020-02-05,Vietnamese,,,0,0,28.7,book,27
2020-02-05,German (AUT),,,0,0,19.44,book,251
2020-02-05,Serbian,,,0,0,0.0,book,5
2020-02-05,German (CHE),,,0,0,0.0,book,251
2020-02-05,German (DEU),,,0,0,5.56,book,251
2020-02-05,Japanese,,,0,0,19.44,book,314
2020-02-05,Tamil,,,1,1,10.19,book,14
2020-02-06,Japanese,,,0,0,19.44,book,269
2020-02-06,Vietnamese,,,0,0,28.7,book,19
2020-02-06,Tamil,,,1,1,10.19,book,22
2020-02-06,Serbian,,,0,0,0.0,book,3
2020-02-06,German (DEU),,,0,0,5.56,book,212
2020-02-06,German (AUT),,,0,0,19.44,book,212
2020-02-06,German (CHE),,,0,0,0.0,book,212
2020-02-07,German (CHE),,,0,0,0.0,book,200
2020-02-07,German (DEU),,,0,0,5.56,book,200
2020-02-07,Japanese,,,0,0,19.44,book,311
2020-02-07,Vietnamese,,,0,0,28.7,book,27
2020-02-07,German (AUT),,,0,0,19.44,book,200
2020-02-07,Tamil,,,1,1,10.19,book,27
2020-02-07,Serbian,,,0,0,0.0,book,2
