,country,date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,language
2104,JPN,2020-10-27,0.0051132442067736185,0.10870959001782532,1,1,,Japanese
2105,CHE,2020-10-27,-0.0256516,0.18241320000000003,1,1,,German
2106,AUT,2020-10-27,0.029186666666666663,0.1781911111111111,2,1,,German
2107,AUT,2020-10-28,0.013346666666666666,0.17043666666666668,2,1,,German
2108,CHE,2020-10-28,-0.044981999999999994,0.1875068,1,1,,German
2109,VNM,2020-10-28,0.00018242165242165242,0.25644786324786323,0,1,,Vietnamese
2110,JPN,2020-10-28,-0.007822464285714287,0.10981219642857143,1,1,,Japanese
2111,DEU,2020-10-28,-0.0027349999999999996,0.1927,2,1,,German
2112,IND,2020-10-28,-0.10681923430321592,0.14663549770290965,2,1,,Tamil
2113,SRB,2020-10-28,0.0465092,0.1604572,1,1,,Serbian
2114,SRB,2020-10-29,0.0504824,0.1638004,1,1,,Serbian
2115,VNM,2020-10-29,0.01528519368723099,0.235476456241033,0,1,,Vietnamese
2116,IND,2020-10-29,-0.10246707503828484,0.1470485145482389,2,1,,Tamil
2117,CHE,2020-10-29,-0.06344999999999999,0.1916524,1,1,,German
2118,JPN,2020-10-29,-0.012576714801444044,0.11020703971119133,1,1,,Japanese
2119,DEU,2020-10-29,-0.005938125,0.18808249999999999,2,1,,German
2120,AUT,2020-10-29,-0.053172222222222225,0.18282555555555555,2,1,,German
2121,CHE,2020-10-30,-0.0537536,0.1696644,1,1,,German
2122,DEU,2020-10-30,0.0017300000000000002,0.1812125,2,1,,German
2123,AUT,2020-10-30,-0.030492222222222223,0.16620555555555555,2,1,,German
2124,SRB,2020-10-30,0.05228,0.1611384,1,1,,Serbian
2125,JPN,2020-10-30,-0.01856340501792115,0.10523129032258065,1,1,,Japanese
2126,VNM,2020-10-30,0.04569937142857143,0.22044552857142857,0,1,,Vietnamese
2127,IND,2020-10-30,-0.12501364471669218,0.1527483614088821,2,1,,Tamil
2128,JPN,2020-10-31,0.05195418772563177,0.12199648014440433,1,1,,Japanese
2129,SRB,2020-10-31,-0.0063436000000000005,0.20626840000000002,1,1,,Serbian
2130,IND,2020-10-31,-0.12887349157733538,0.1537719908116386,2,1,,Tamil
2131,VNM,2020-10-31,0.07603954415954416,0.22374740740740742,0,1,,Vietnamese
2132,CHE,2020-10-31,-0.0985456,0.2100976,1,1,,German
2133,DEU,2020-10-31,-0.1293725,0.289113125,2,1,,German
2134,AUT,2020-10-31,-0.08336777777777778,0.1982211111111111,2,1,,German
2135,AUT,2020-11-01,-0.13183444444444445,0.3244,2,1,,German
2136,JPN,2020-11-01,0.03160670818505338,0.15909459074733096,1,1,,Japanese
2137,IND,2020-11-01,-0.14124305683563748,0.1698378955453149,2,1,,Tamil
2138,CHE,2020-11-01,-0.21263279999999998,0.35238280000000005,1,1,,German
2139,DEU,2020-11-01,-0.06269875,0.38134875,2,1,,German
2140,SRB,2020-11-01,-0.0088328,0.2386536,1,1,,Serbian
2141,VNM,2020-11-01,0.14921108262108262,0.22428569800569798,0,1,,Vietnamese
2142,JPN,2020-11-02,-0.0220827807486631,0.12402641711229948,1,1,,Japanese
2143,AUT,2020-11-02,0.007542222222222222,0.17288,2,1,,German
2144,DEU,2020-11-02,0.0160425,0.19286125,1,1,,German
2145,CHE,2020-11-02,-0.0286316,0.1801504,1,1,,German
2146,SRB,2020-11-02,0.018997200000000002,0.1660088,1,1,,Serbian
2147,VNM,2020-11-02,0.11542978632478633,0.1984624358974359,2,1,,Vietnamese
2148,IND,2020-11-02,-0.1021802300613497,0.1417535582822086,2,1,,Tamil
2149,IND,2020-11-03,-0.10501254601226995,0.14591044478527607,2,1,,Tamil
2150,SRB,2020-11-03,0.008972399999999998,0.16505240000000002,1,1,,Serbian
2151,CHE,2020-11-03,-0.07501160000000001,0.2003472,1,1,,German
2152,VNM,2020-11-03,0.13318312499999999,0.2003771022727273,2,1,,Vietnamese
2153,JPN,2020-11-03,-0.09985915921288015,0.15301706618962432,1,1,,Japanese
2154,DEU,2020-11-03,-0.0036106249999999997,0.20045,1,1,,German
2155,AUT,2020-11-03,-0.008366666666666665,0.19559444444444446,2,1,,German
2156,AUT,2020-11-04,-0.08218555555555557,0.20442444444444444,2,1,,German
2157,SRB,2020-11-04,0.026405599999999998,0.1705712,1,1,,Serbian
2158,IND,2020-11-04,-0.10735205206738133,0.14589998468606433,2,1,,Tamil
2159,DEU,2020-11-04,-0.02674125,0.203919375,1,1,,German
2160,VNM,2020-11-04,0.12392487215909091,0.19982892045454548,2,1,,Vietnamese
2161,CHE,2020-11-04,-0.08564719999999999,0.2045476,1,1,,German
2162,JPN,2020-11-04,-0.024387684021543985,0.11199177737881509,1,1,,Japanese
2163,IND,2020-11-05,-0.1083245482388974,0.1455204900459418,2,1,,Tamil
2164,AUT,2020-11-05,-0.07952333333333333,0.1885477777777778,2,1,,German
2165,DEU,2020-11-05,-0.036356875,0.199571875,1,1,,German
2166,JPN,2020-11-05,-0.009267913669064749,0.10969379496402878,1,1,,Japanese
2167,CHE,2020-11-05,-0.088072,0.19610880000000003,1,1,,German
2168,VNM,2020-11-05,0.1186600284090909,0.20250389204545452,2,1,,Vietnamese
2169,SRB,2020-11-05,0.0180092,0.17694279999999998,1,1,,Serbian
2170,AUT,2020-11-06,-0.07521555555555555,0.18046777777777778,2,1,,German
2171,DEU,2020-11-06,-0.061513125,0.20085125,1,1,,German
2172,CHE,2020-11-06,-0.0915144,0.1821712,1,1,,German
2173,SRB,2020-11-06,0.0263996,0.1676368,1,1,,Serbian
2174,VNM,2020-11-06,0.09320906116642959,0.2047522332859175,2,1,,Vietnamese
2175,IND,2020-11-06,-0.10264376722817764,0.14549399693721288,2,1,,Tamil
2176,JPN,2020-11-06,-0.02296003616636528,0.10690361663652803,1,1,,Japanese
2177,SRB,2020-11-07,0.0255904,0.19405280000000003,1,1,,Serbian
2178,IND,2020-11-07,-0.09433581929555895,0.1485626339969372,2,1,,Tamil
2179,AUT,2020-11-07,-0.18178555555555553,0.2435211111111111,2,1,,German
2180,CHE,2020-11-07,-0.1349296,0.2271868,1,1,,German
2181,VNM,2020-11-07,0.12225522792022793,0.2120848717948718,2,1,,Vietnamese
2182,JPN,2020-11-07,-0.029104365942028986,0.13798856884057972,1,1,,Japanese
2183,DEU,2020-11-07,-0.076525625,0.2658175,1,1,,German
2184,AUT,2020-11-08,-0.23626777777777777,0.3887511111111111,2,1,,German
2185,VNM,2020-11-08,0.14285502849002849,0.22079387464387465,2,1,,Vietnamese
2186,IND,2020-11-08,-0.11895686635944701,0.16517380952380953,2,1,,Tamil
2187,CHE,2020-11-08,-0.181156,0.348036,1,1,,German
2188,SRB,2020-11-08,-0.046765999999999995,0.24800840000000002,1,1,,Serbian
2189,DEU,2020-11-08,-0.109888125,0.409861875,1,1,,German
2190,JPN,2020-11-08,-0.00490745027124774,0.16419122965641952,1,1,,Japanese
2191,CHE,2020-11-09,-0.058890000000000005,0.1907292,1,1,,German
2192,AUT,2020-11-09,-0.036730000000000006,0.19528333333333334,2,1,,German
2193,SRB,2020-11-09,-0.0072023999999999986,0.1797728,1,1,,Serbian
2194,JPN,2020-11-09,-0.015679838129496405,0.11503444244604316,1,1,,Japanese
2195,IND,2020-11-09,-0.08389773353751914,0.13943211332312405,2,1,,Tamil
2196,DEU,2020-11-09,-0.011903125,0.204801875,1,1,,German
2197,VNM,2020-11-09,0.1362849359886202,0.1967768563300142,2,1,,Vietnamese
2198,DEU,2020-11-10,-0.0185275,0.208404375,1,1,,German
2199,JPN,2020-11-10,0.002067323688969259,0.11073672694394213,1,1,,Japanese
2200,IND,2020-11-10,-0.07837540581929556,0.14420823889739662,2,1,,Tamil
2201,CHE,2020-11-10,-0.054544800000000004,0.19308879999999998,1,1,,German
2202,VNM,2020-11-10,0.08411887624466571,0.22483261735419632,2,1,,Vietnamese
2203,SRB,2020-11-10,-0.0032591999999999994,0.177446,1,1,,Serbian
2204,AUT,2020-11-10,-0.01920222222222222,0.19758333333333333,2,1,,German
2205,VNM,2020-11-11,0.10173676638176639,0.207303547008547,2,1,,Vietnamese
2206,JPN,2020-11-11,-0.00929255941499086,0.1119789945155393,1,1,,Japanese
2207,CHE,2020-11-11,-0.046925999999999995,0.19190439999999998,1,1,,German
2208,AUT,2020-11-11,-0.05358333333333333,0.20095666666666667,2,1,,German
2209,DEU,2020-11-11,-0.03842125,0.211489375,1,1,,German
2210,IND,2020-11-11,-0.07116725880551301,0.14014661562021438,2,1,,Tamil
2211,SRB,2020-11-11,-0.10460520000000001,0.228538,1,1,,Serbian
2212,SRB,2020-11-12,0.005700800000000001,0.185426,1,1,,Serbian
2213,JPN,2020-11-12,-0.010137382671480144,0.11172835740072201,1,1,,Japanese
2214,AUT,2020-11-12,-0.08295555555555555,0.19381444444444443,2,1,,German
2215,IND,2020-11-12,-0.06410923312883435,0.13613687116564419,2,1,,Tamil
2216,DEU,2020-11-12,-0.046526875,0.20411875,1,1,,German
2217,CHE,2020-11-12,-0.0604856,0.1848736,1,1,,German
2218,VNM,2020-11-12,0.11345293029871978,0.2035876955903272,2,1,,Vietnamese
2219,SRB,2020-11-13,-0.0032676,0.186508,1,1,,Serbian
2220,IND,2020-11-13,-0.060197177914110424,0.13473240797546013,2,1,,Tamil
2221,DEU,2020-11-13,-0.049318125,0.19850625,1,1,,German
2222,JPN,2020-11-13,-0.009527897623400365,0.10687502742230347,1,1,,Japanese
2223,AUT,2020-11-13,-0.08092333333333333,0.1860111111111111,2,1,,German
2224,CHE,2020-11-13,-0.0748112,0.1785116,1,1,,German
2225,VNM,2020-11-13,0.13194773504273505,0.19439958689458692,2,1,,Vietnamese
2226,CHE,2020-11-14,-0.09544760000000001,0.2170108,1,1,,German
2227,SRB,2020-11-14,-0.028780399999999998,0.2140084,1,1,,Serbian
2228,AUT,2020-11-14,-0.16282000000000002,0.24002666666666667,2,1,,German
2229,JPN,2020-11-14,0.030914511970534072,0.12726524861878452,1,1,,Japanese
2230,IND,2020-11-14,-0.19040800613496933,0.15539292944785277,2,1,,Tamil
2231,DEU,2020-11-14,-0.0636575,0.263754375,1,1,,German
2232,VNM,2020-11-14,0.1416164245014245,0.2064050997150997,2,1,,Vietnamese
2233,AUT,2020-11-15,-0.24622,0.39126222222222223,2,1,,German
2234,DEU,2020-11-15,-0.080374375,0.401560625,1,1,,German
2235,CHE,2020-11-15,-0.1287168,0.3302748,1,1,,German
2236,VNM,2020-11-15,0.09875901709401709,0.23691527065527063,2,1,,Vietnamese
2237,IND,2020-11-15,-0.21918561349693252,0.1784141411042945,2,1,,Tamil
2238,JPN,2020-11-15,0.024100493601462526,0.15884756855575868,1,1,,Japanese
2239,SRB,2020-11-15,-0.08502359999999999,0.2653776,1,1,,Serbian
2240,JPN,2020-11-16,-0.003549945054945055,0.11296157509157509,1,1,,Japanese
2241,IND,2020-11-16,-0.11971230061349693,0.14660042944785276,2,1,,Tamil
2242,AUT,2020-11-16,0.04936666666666666,0.18034777777777777,2,1,,German
2243,SRB,2020-11-16,-0.023777200000000002,0.18032720000000002,1,1,,Serbian
2244,CHE,2020-11-16,-0.0825296,0.20482399999999998,1,1,,German
2245,DEU,2020-11-16,-0.011398750000000001,0.207496875,1,1,,German
2246,VNM,2020-11-16,0.10307035612535613,0.2111421225071225,2,1,,Vietnamese
2247,DEU,2020-11-17,-0.0174,0.2103475,1,1,,German
2248,SRB,2020-11-17,-0.054873200000000004,0.1936384,1,1,,Serbian
