Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
5/18/2019,18,12,31,35,56,36,101,23,15,28,Vietnamese
5/19/2019,8,18,19,16,92,47,78,21,15,34,Vietnamese
5/20/2019,15,14,17,27,70,57,92,17,9,43,Vietnamese
5/21/2019,19,18,29,23,61,51,120,19,8,69,Vietnamese
5/22/2019,19,19,9,16,67,50,56,21,13,58,Vietnamese
5/23/2019,10,16,17,23,71,47,65,21,6,44,Vietnamese
5/24/2019,13,20,22,24,46,49,64,15,10,58,Vietnamese
5/25/2019,11,12,17,20,68,30,63,19,14,62,Vietnamese
5/26/2019,21,11,17,22,66,27,79,30,13,48,Vietnamese
5/27/2019,19,28,18,13,68,48,82,19,6,71,Vietnamese
5/28/2019,13,22,19,20,66,55,79,31,13,71,Vietnamese
5/29/2019,22,15,10,17,68,57,67,18,12,62,Vietnamese
5/30/2019,15,13,10,26,63,45,80,15,7,76,Vietnamese
5/31/2019,21,27,26,19,54,63,82,21,6,47,Vietnamese
6/1/2019,10,17,23,16,70,28,84,17,7,46,Vietnamese
6/2/2019,15,23,15,24,59,48,94,14,8,42,Vietnamese
6/3/2019,14,8,16,8,56,44,92,24,6,58,Vietnamese
6/4/2019,14,16,20,15,65,26,82,18,8,66,Vietnamese
6/5/2019,24,20,17,22,80,60,64,28,4,35,Vietnamese
6/6/2019,20,27,24,20,63,55,66,13,15,52,Vietnamese
6/7/2019,15,23,19,13,60,49,59,12,2,59,Vietnamese
6/8/2019,6,13,12,23,68,37,55,14,9,67,Vietnamese
6/9/2019,28,32,25,20,53,50,46,14,15,52,Vietnamese
6/10/2019,22,18,21,25,70,37,76,24,8,63,Vietnamese
6/11/2019,27,14,30,11,83,59,60,14,8,46,Vietnamese
6/12/2019,12,17,20,15,71,48,67,14,12,63,Vietnamese
6/13/2019,16,17,14,25,37,47,80,31,14,49,Vietnamese
6/14/2019,15,20,22,16,52,59,60,30,6,60,Vietnamese
6/15/2019,15,13,27,19,49,53,54,21,4,69,Vietnamese
6/16/2019,12,14,14,29,48,42,67,16,4,51,Vietnamese
6/17/2019,13,22,24,31,53,45,91,20,10,50,Vietnamese
6/18/2019,21,21,22,22,72,46,61,19,10,54,Vietnamese
6/19/2019,21,14,21,19,62,36,73,46,10,65,Vietnamese
6/20/2019,18,26,18,35,63,34,74,10,11,50,Vietnamese
6/21/2019,18,18,20,27,84,35,83,17,6,49,Vietnamese
6/22/2019,14,12,11,15,59,31,59,15,15,45,Vietnamese
6/23/2019,21,13,18,16,73,43,37,15,11,43,Vietnamese
6/24/2019,8,12,17,17,83,34,48,17,11,57,Vietnamese
6/25/2019,16,14,15,30,58,31,54,19,20,55,Vietnamese
6/26/2019,10,20,25,19,47,44,54,23,7,51,Vietnamese
6/27/2019,25,20,15,21,44,46,43,16,9,68,Vietnamese
6/28/2019,11,18,18,15,52,36,57,18,14,58,Vietnamese
6/29/2019,10,16,16,15,53,34,55,16,11,40,Vietnamese
6/30/2019,17,18,26,11,50,47,59,17,9,40,Vietnamese
7/1/2019,12,16,22,22,45,39,59,17,4,48,Vietnamese
1/1/2020,33,22,10,26,33,43,52,52,17,33,Vietnamese
1/2/2020,38,17,19,18,39,32,62,53,11,116,Vietnamese
