Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
2020-02-04,319,78,206,206,282,372,196,218,466,361,Japanese
2020-02-05,314,47,184,168,239,369,124,214,430,329,Japanese
2020-02-06,269,56,292,164,287,374,137,256,405,437,Japanese
2020-02-07,311,63,226,189,247,319,173,203,373,376,Japanese
2020-02-08,144,78,194,159,218,309,192,152,473,467,Japanese
2020-02-09,153,82,195,223,275,359,196,176,394,498,Japanese
2020-02-10,236,58,230,234,260,367,161,188,446,513,Japanese
2020-02-11,214,75,202,162,294,394,148,173,403,575,Japanese
2020-02-12,278,55,234,200,271,382,165,235,426,394,Japanese
2020-02-13,269,66,178,198,285,463,190,209,576,413,Japanese
2020-02-14,292,54,190,163,299,366,211,196,459,327,Japanese
2020-02-15,166,54,186,149,324,324,268,152,389,370,Japanese
2020-02-16,208,74,163,189,324,318,311,150,410,421,Japanese
2020-02-17,303,75,169,201,277,367,223,229,472,483,Japanese
2020-02-18,354,69,204,194,331,298,303,187,519,425,Japanese
2020-02-19,266,57,199,176,267,327,224,209,475,368,Japanese
2020-02-20,452,53,189,156,240,288,224,187,459,366,Japanese
2020-02-21,314,44,198,197,289,331,200,155,390,290,Japanese
2020-02-22,142,58,202,159,261,311,250,150,287,316,Japanese
2020-02-23,164,62,137,180,296,363,184,161,341,336,Japanese
2020-02-24,174,95,137,165,289,358,168,178,369,339,Japanese
2020-02-25,379,67,164,170,286,321,162,200,396,298,Japanese
2020-02-26,342,59,136,169,259,351,148,172,344,547,Japanese
2020-02-27,294,66,162,140,307,282,152,181,318,658,Japanese
2020-02-28,197,62,136,176,215,261,151,161,294,292,Japanese
2020-02-29,132,52,163,152,249,311,156,136,387,330,Japanese
2020-03-01,141,83,160,156,279,310,150,162,444,311,Japanese
2020-03-02,164,71,201,152,237,295,146,144,416,374,Japanese
2020-03-03,170,78,170,161,253,343,197,149,428,368,Japanese
2020-03-04,146,73,203,141,263,299,159,156,371,441,Japanese
2020-03-05,171,39,142,172,238,699,214,162,362,461,Japanese
2020-03-06,167,62,185,162,270,383,145,137,332,335,Japanese
2020-03-07,128,71,383,185,263,472,177,127,265,375,Japanese
2020-03-08,140,80,270,159,261,329,224,153,365,402,Japanese
2020-03-09,150,78,206,166,225,298,168,166,348,371,Japanese
2020-03-10,156,75,229,186,238,361,178,175,333,402,Japanese
2020-03-11,108,69,234,323,274,335,184,146,264,330,Japanese
2020-03-12,167,70,205,187,238,344,201,126,268,340,Japanese
2020-03-13,171,75,195,216,221,449,171,183,274,316,Japanese
2020-03-14,183,81,242,198,272,337,190,139,253,370,Japanese
2020-03-15,159,75,167,187,287,341,189,243,236,350,Japanese
2020-03-16,163,60,157,215,248,327,193,144,314,391,Japanese
2020-03-17,150,60,118,182,230,336,153,128,338,364,Japanese
2020-03-18,161,55,145,175,262,273,165,145,336,351,Japanese
2020-03-19,157,65,124,145,292,320,177,146,317,356,Japanese
2020-03-20,139,83,122,153,339,317,183,140,268,373,Japanese
2020-03-21,158,89,141,182,311,479,189,132,251,383,Japanese
2020-03-22,135,87,179,176,244,324,213,163,275,370,Japanese
2020-03-23,151,61,182,190,246,350,163,168,306,375,Japanese
2020-03-24,146,63,144,231,243,435,182,145,364,343,Japanese
2020-03-25,142,60,139,356,197,271,154,122,289,365,Japanese
2020-03-26,139,68,485,287,202,302,152,120,285,456,Japanese
2020-03-27,139,42,196,269,260,311,168,120,282,433,Japanese
2020-03-28,121,51,217,290,314,357,186,135,352,460,Japanese
2020-03-29,152,69,182,251,344,494,179,161,297,506,Japanese
2020-03-30,133,47,148,157,249,382,173,146,434,441,Japanese
2020-03-31,117,65,170,220,190,271,138,120,401,375,Japanese
2020-04-01,149,47,217,217,211,392,147,101,419,436,Japanese
2020-04-02,133,66,143,190,244,280,160,104,327,394,Japanese
2020-04-03,135,71,152,157,225,272,147,134,377,370,Japanese
2020-04-04,125,84,155,185,226,313,177,151,342,466,Japanese
2020-04-05,166,92,161,177,233,338,215,159,448,457,Japanese
2020-04-06,121,51,167,157,225,301,169,114,359,420,Japanese
2020-04-07,150,151,140,205,248,289,153,123,369,416,Japanese
2020-04-08,144,129,150,179,243,312,148,121,358,442,Japanese
2020-04-09,159,118,144,192,276,365,187,131,399,421,Japanese
2020-04-10,155,113,177,191,259,339,193,128,328,432,Japanese
2020-04-11,118,127,180,469,275,407,174,154,339,568,Japanese
2020-04-12,156,101,175,239,308,513,215,160,330,592,Japanese
2020-04-13,142,80,1252,227,295,422,208,133,369,655,Japanese
2020-04-14,170,101,350,200,303,381,187,147,458,550,Japanese
2020-04-15,158,115,248,225,272,325,198,130,501,504,Japanese
2020-04-16,182,75,214,228,282,369,193,145,883,495,Japanese
2020-04-17,172,99,236,205,252,457,211,174,337,507,Japanese
2020-04-18,167,100,261,245,333,441,230,191,329,612,Japanese
2020-04-19,177,118,229,230,328,364,240,146,307,609,Japanese
2020-04-20,189,113,195,296,336,452,233,206,356,533,Japanese
2020-04-21,216,134,202,280,291,494,252,192,392,590,Japanese
2020-04-22,201,126,211,234,376,385,226,199,447,626,Japanese
2020-04-23,196,147,177,242,395,352,249,229,488,689,Japanese
2020-04-24,216,118,188,239,380,370,208,162,408,615,Japanese
2020-04-25,153,167,207,259,303,387,223,160,429,624,Japanese
2020-04-26,172,119,212,227,364,491,262,207,422,647,Japanese
2020-04-27,214,132,273,274,336,460,218,151,427,704,Japanese
2020-04-28,214,124,212,330,393,424,229,165,448,657,Japanese
2020-04-29,188,132,319,369,404,462,302,183,526,768,Japanese
2020-04-30,205,153,190,203,377,464,267,140,431,735,Japanese
