Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
10/7/2019,5,0,0,18,1,2,3,2,0,2,Macedonian
11/7/2019,4,0,0,6,4,0,1,1,0,1,Macedonian
12/7/2019,2,0,0,16,2,2,2,5,0,6,Macedonian
13/07/2019,2,0,0,7,10,2,4,2,0,4,Macedonian
14/07/2019,5,0,2,13,4,1,1,0,0,3,Macedonian
15/07/2019,3,0,0,7,5,3,0,0,0,4,Macedonian
16/07/2019,3,1,0,18,3,3,7,0,0,5,Macedonian
17/07/2019,5,0,1,8,3,1,2,1,0,2,Macedonian
18/07/2019,3,0,0,17,6,2,2,2,0,2,Macedonian
19/07/2019,4,0,0,14,2,6,3,1,0,2,Macedonian
20/07/2019,2,0,1,14,3,1,7,3,0,0,Macedonian
21/07/2019,6,0,0,11,5,1,5,3,0,5,Macedonian
22/07/2019,2,0,1,7,1,1,2,0,0,0,Macedonian
23/07/2019,3,1,0,15,4,2,3,0,0,2,Macedonian
24/07/2019,2,0,0,7,2,3,1,6,0,3,Macedonian
25/07/2019,7,1,0,9,5,1,1,0,0,5,Macedonian
26/07/2019,7,0,0,7,3,4,2,2,0,1,Macedonian
27/07/2019,2,0,0,13,6,2,3,2,0,3,Macedonian
28/07/2019,2,0,0,7,6,1,6,2,0,0,Macedonian
29/07/2019,2,0,2,13,5,2,0,0,0,9,Macedonian
30/07/2019,1,0,0,11,8,5,5,1,0,4,Macedonian
31/07/2019,8,0,0,7,0,2,6,1,0,3,Macedonian
1/8/2019,10,0,0,11,4,1,2,2,0,10,Macedonian
2/8/2019,12,0,0,19,6,2,1,1,0,4,Macedonian
3/8/2019,6,0,1,13,10,1,2,2,0,6,Macedonian
4/8/2019,4,0,0,20,5,5,1,2,0,7,Macedonian
5/8/2019,6,0,0,15,7,1,2,2,0,3,Macedonian
6/8/2019,5,0,0,9,3,3,4,0,0,1,Macedonian
7/8/2019,4,0,0,7,3,2,1,4,0,2,Macedonian
8/8/2019,4,0,0,18,3,3,2,1,0,1,Macedonian
9/8/2019,3,0,1,10,0,1,0,1,0,1,Macedonian
10/8/2019,9,0,1,14,0,1,1,3,0,0,Macedonian
11/8/2019,4,0,0,11,6,4,2,1,0,2,Macedonian
12/8/2019,9,0,0,10,8,5,2,2,0,2,Macedonian
13/08/2019,4,0,1,11,5,1,4,0,0,6,Macedonian
14/08/2019,6,1,1,18,7,0,0,2,0,1,Macedonian
15/08/2019,3,0,0,14,5,4,4,1,0,2,Macedonian
16/08/2019,3,0,0,4,3,5,4,4,0,3,Macedonian
17/08/2019,1,0,0,9,1,0,3,0,0,1,Macedonian
18/08/2019,1,1,0,12,2,2,4,1,0,2,Macedonian
19/08/2019,10,0,5,7,0,4,6,1,0,2,Macedonian
20/08/2019,9,1,2,8,2,5,5,0,0,6,Macedonian
21/08/2019,5,1,1,12,2,1,4,1,0,8,Macedonian
