Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
19/06/2019,0,12,2,17,21,18,13,13,3,20,Serbian
20/06/2019,2,14,1,31,13,10,16,10,8,35,Serbian
21/06/2019,0,10,5,24,23,5,13,10,6,17,Serbian
22/06/2019,0,3,3,30,16,15,16,4,2,21,Serbian
23/06/2019,7,8,0,64,11,17,23,14,3,22,Serbian
24/06/2019,2,17,1,47,14,20,14,12,1,15,Serbian
25/06/2019,2,8,2,34,13,10,11,8,2,30,Serbian
26/06/2019,0,11,0,45,15,15,9,16,3,46,Serbian
27/06/2019,1,4,2,37,15,20,20,17,9,24,Serbian
28/06/2019,2,8,1,19,25,6,12,11,8,84,Serbian
29/06/2019,2,5,0,31,29,11,22,16,4,72,Serbian
30/06/2019,2,15,0,48,23,12,15,13,0,62,Serbian
1/7/2019,0,9,2,36,22,10,16,14,2,53,Serbian
2/7/2019,1,10,0,33,19,14,14,7,8,33,Serbian
3/7/2019,1,8,4,37,14,11,12,13,2,28,Serbian
4/7/2019,3,8,1,31,14,13,9,9,4,18,Serbian
5/7/2019,0,6,3,26,17,10,11,10,0,31,Serbian
6/7/2019,1,5,2,38,21,23,12,15,0,29,Serbian
7/7/2019,2,10,1,41,14,7,14,2,0,23,Serbian
8/7/2019,1,6,4,32,13,6,11,13,4,34,Serbian
9/7/2019,4,7,0,27,13,8,15,14,9,15,Serbian
10/7/2019,0,8,2,40,29,15,17,18,0,25,Serbian
11/7/2019,1,9,1,32,14,17,9,8,2,35,Serbian
12/7/2019,2,8,3,55,14,8,9,8,6,34,Serbian
13/07/2019,3,7,2,38,14,11,18,6,3,18,Serbian
14/07/2019,3,11,0,61,27,15,14,4,1,31,Serbian
15/07/2019,1,7,2,23,17,17,10,2,2,18,Serbian
16/07/2019,3,6,0,45,22,16,19,13,3,25,Serbian
17/07/2019,3,7,2,20,5,13,5,6,1,42,Serbian
18/07/2019,1,14,2,29,14,18,10,3,0,25,Serbian
19/07/2019,4,7,1,46,18,17,5,12,0,16,Serbian
20/07/2019,3,7,0,41,13,14,18,7,0,21,Serbian
21/07/2019,3,9,6,36,19,15,8,5,4,22,Serbian
22/07/2019,2,8,1,35,12,6,11,9,3,25,Serbian
23/07/2019,0,11,1,35,16,16,17,8,0,25,Serbian
24/07/2019,1,9,1,41,18,22,11,7,1,18,Serbian
25/07/2019,2,12,4,47,22,11,7,6,5,28,Serbian
26/07/2019,0,10,0,42,7,8,19,10,2,18,Serbian
27/07/2019,1,5,0,27,22,18,8,4,2,23,Serbian
28/07/2019,0,6,3,99,33,21,16,9,4,32,Serbian
29/07/2019,1,11,1,72,22,16,13,15,0,27,Serbian
30/07/2019,6,15,0,47,26,19,10,12,2,27,Serbian
31/07/2019,1,15,3,46,24,20,12,11,1,17,Serbian
1/8/2019,2,10,0,41,24,12,6,8,0,25,Serbian
2/8/2019,2,15,8,56,17,8,13,17,14,20,Serbian
3/8/2019,0,13,1,53,13,8,15,4,1,11,Serbian
4/8/2019,1,17,1,41,20,18,19,18,0,10,Serbian
5/8/2019,1,6,1,45,23,9,13,7,2,17,Serbian
6/8/2019,4,8,2,33,22,9,9,11,1,15,Serbian
7/8/2019,0,7,0,36,12,16,15,12,5,22,Serbian
8/8/2019,3,9,0,23,18,9,18,5,0,14,Serbian
9/8/2019,3,8,4,30,21,13,25,15,7,15,Serbian
10/8/2019,2,11,0,36,13,9,18,11,2,10,Serbian
11/8/2019,1,8,1,31,32,17,10,10,1,15,Serbian
12/8/2019,2,10,3,29,25,14,11,4,1,20,Serbian
13/08/2019,3,19,0,30,23,13,13,9,2,20,Serbian
14/08/2019,1,4,1,47,12,7,12,8,4,27,Serbian
15/08/2019,3,6,0,41,17,14,7,11,4,23,Serbian
16/08/2019,0,10,0,28,19,11,11,4,3,25,Serbian
17/08/2019,1,8,0,30,12,12,11,7,2,14,Serbian
18/08/2019,3,11,1,32,25,10,7,4,4,25,Serbian
19/08/2019,1,10,1,25,19,11,13,8,6,12,Serbian
20/08/2019,5,15,1,37,21,17,6,7,2,21,Serbian
21/08/2019,6,8,0,36,45,17,10,7,1,17,Serbian
22/08/2019,2,4,2,28,36,18,11,6,1,21,Serbian
23/08/2019,2,30,2,31,19,9,20,6,4,18,Serbian
24/08/2019,1,8,1,29,18,7,16,10,4,22,Serbian
25/08/2019,0,8,1,29,27,15,21,12,3,14,Serbian
26/08/2019,1,15,0,22,16,15,12,12,2,31,Serbian
27/08/2019,4,7,5,23,20,9,16,12,4,26,Serbian
