Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
7/9/2019,9,0,9,1,94,0,4,2,0,4,Tamil
7/10/2019,15,0,19,2,96,4,3,1,1,4,Tamil
7/11/2019,10,0,8,8,127,0,6,2,0,2,Tamil
7/12/2019,21,0,5,2,75,1,3,4,2,5,Tamil
7/13/2019,21,1,6,1,106,1,1,1,2,4,Tamil
7/14/2019,10,0,3,4,85,3,5,0,2,5,Tamil
7/15/2019,12,0,3,4,85,3,10,3,3,1,Tamil
7/16/2019,15,0,8,2,125,2,5,3,3,4,Tamil
7/17/2019,25,0,4,4,78,4,6,3,0,1,Tamil
7/18/2019,21,0,5,7,100,3,3,1,0,3,Tamil
7/19/2019,10,0,8,2,95,4,8,2,0,5,Tamil
7/20/2019,11,0,6,0,84,0,2,3,0,2,Tamil
7/21/2019,11,0,9,5,126,1,3,4,0,0,Tamil
7/22/2019,18,2,3,1,122,4,2,0,2,2,Tamil
7/23/2019,16,0,7,2,99,1,5,3,1,2,Tamil
7/24/2019,31,0,9,4,64,6,3,3,0,6,Tamil
7/25/2019,22,0,9,2,126,3,5,1,0,3,Tamil
7/26/2019,23,0,6,2,102,2,6,2,0,2,Tamil
7/27/2019,15,0,5,1,95,2,3,1,2,3,Tamil
7/28/2019,10,0,4,2,122,1,0,2,1,4,Tamil
7/29/2019,7,0,7,3,124,4,4,2,1,1,Tamil
7/30/2019,8,0,3,1,93,3,3,0,0,10,Tamil
7/31/2019,21,1,7,0,146,2,3,1,1,2,Tamil
8/1/2019,28,0,6,1,80,2,4,0,0,2,Tamil
8/2/2019,21,2,7,3,94,3,1,3,0,1,Tamil
8/3/2019,20,1,1,1,102,0,1,3,0,3,Tamil
8/4/2019,19,1,7,7,104,5,8,6,0,0,Tamil
8/5/2019,29,0,13,2,88,5,5,4,0,2,Tamil
8/6/2019,17,0,14,4,85,3,2,8,1,2,Tamil
8/7/2019,20,0,9,1,95,4,6,9,0,4,Tamil
8/8/2019,13,0,6,1,79,2,2,1,0,3,Tamil
8/9/2019,15,0,5,0,81,3,3,3,2,0,Tamil
8/10/2019,14,0,5,0,65,5,3,6,1,6,Tamil
8/11/2019,27,0,5,6,1160,3,4,3,0,7,Tamil
8/12/2019,27,0,4,3,334,2,6,0,0,3,Tamil
8/13/2019,17,0,2,1,205,5,3,4,1,3,Tamil
8/14/2019,12,1,8,1,176,1,2,4,0,1,Tamil
8/15/2019,4,0,2,0,117,0,2,3,1,3,Tamil
8/16/2019,16,0,7,4,101,3,4,4,0,4,Tamil
8/17/2019,12,0,4,1,109,1,3,1,2,0,Tamil
8/18/2019,20,0,7,2,96,2,4,1,1,4,Tamil
8/19/2019,19,1,6,1,96,1,4,2,0,0,Tamil
8/20/2019,17,1,7,2,109,5,3,1,0,6,Tamil
8/21/2019,22,0,12,1,88,0,3,3,1,8,Tamil
8/22/2019,18,0,7,0,90,2,4,0,0,4,Tamil
8/23/2019,15,0,10,2,101,1,3,1,0,3,Tamil
8/24/2019,12,0,5,5,126,1,1,2,0,6,Tamil
8/25/2019,13,2,4,6,170,7,5,3,2,5,Tamil
8/26/2019,17,1,10,2,112,2,5,1,1,6,Tamil
8/27/2019,16,0,13,0,97,3,7,2,2,3,Tamil
8/28/2019,17,0,5,2,117,4,2,1,0,8,Tamil
8/29/2019,17,1,3,3,106,0,8,2,1,3,Tamil
8/30/2019,22,0,5,1,79,2,1,0,0,4,Tamil
8/31/2019,22,5,3,5,95,4,3,2,0,9,Tamil
9/1/2019,11,1,2,0,106,4,2,3,0,3,Tamil
9/2/2019,16,0,2,0,66,2,4,1,0,5,Tamil
9/3/2019,13,2,7,3,87,3,4,3,1,5,Tamil
9/4/2019,7,1,6,1,85,5,2,1,0,2,Tamil
9/5/2019,18,0,8,1,61,1,0,0,3,6,Tamil
9/6/2019,10,0,6,0,65,2,1,0,0,7,Tamil
9/7/2019,7,0,5,2,74,3,1,0,1,1,Tamil
